step,loss,perplexity,learning_rate
59,7.473729133605957,1761.1620636751206,8.849999999999998e-05
60,7.655559539794922,2112.356736298677,8.999999999999999e-05
61,7.338863849639893,1538.962627071547,9.149999999999999e-05
62,7.615227699279785,2028.8566753944297,9.3e-05
63,7.547954559326172,1896.8588483266822,9.449999999999998e-05
64,7.534830093383789,1872.1262450968893,9.599999999999999e-05
65,7.574280738830566,1947.4590271453426,9.75e-05
66,7.598991394042969,1996.1815188477128,9.9e-05
67,7.66649866104126,2135.5909117925003,0.0001005
68,7.401275634765625,1638.0726802499878,0.00010199999999999999
69,7.53010892868042,1863.3084602342003,0.0001035
70,7.624134063720703,2047.0071196000008,0.00010499999999999999
71,7.53675651550293,1875.736226562923,0.0001065
72,7.491020202636719,1791.879239579625,0.00010799999999999998
73,7.570897102355957,1940.8806694101722,0.00010949999999999999
74,7.492386341094971,1794.3288676059,0.00011099999999999999
75,7.517676830291748,1840.2870250116928,0.0001125
76,7.574283838272095,1947.4650631900802,0.00011399999999999999
77,7.470034122467041,1754.6665581054392,0.00011549999999999999
78,7.486309051513672,1783.4572798273596,0.00011699999999999998
79,7.5840818881988525,1966.6402092251644,0.0001185
80,7.510171890258789,1826.5274781155251,0.00011999999999999999
81,7.4057934284210205,1645.4898967229303,0.0001215
82,7.357073783874512,1567.243752515802,0.00012299999999999998
83,7.633167266845703,2065.5819193728003,0.0001245
84,7.450951099395752,1721.4996843064932,0.00012599999999999997
85,7.531339406967163,1865.6026320108392,0.00012749999999999998
86,7.440961837768555,1704.3887785107247,0.000129
87,7.329733371734619,1524.9751163100063,0.0001305
88,7.490414142608643,1790.793582217373,0.00013199999999999998
89,7.352814674377441,1560.58288451733,0.0001335
90,7.597585201263428,1993.376475487335,0.00013499999999999997
91,7.37023663520813,1588.0095175493868,0.00013649999999999998
92,7.481245994567871,1774.4503545875832,0.000138
93,7.43735408782959,1698.2508487145387,0.00013949999999999998
94,7.3279454708099365,1522.251047797388,0.00014099999999999998
95,7.37333083152771,1592.9307404425924,0.0001425
96,7.365614891052246,1580.6870780972918,0.000144
97,7.359317302703857,1570.7638406002009,0.00014549999999999999
98,7.326841115951538,1520.5708703838577,0.000147
99,7.580919027328491,1960.4298263270834,0.00014849999999999998
100,7.24467134475708,1400.6214987246465,0.00015
